Rank,WSID,Overall,Team,Pos,Bye,Best,Worst,Avg,Std Dev,ADP,vs. ADP
308,,Taylor Gabriel,CHI,WR108,5,185,273,236.8,23.1,299,-9
309,,De'Angelo Henderson,DEN,RB84,10,185,304,247.3,35.3,346,37
310,,Phillip Dorsett,NE,WR109,11,185,423,304,119,242,-68
311,,Garrett Celek,SF,TE41,11,186,297,247,41.3,382,71
312,,Chad Williams,ARI,WR110,9,188,295,245.9,31.3,345,33
313,,Dallas Cowboys,,DST24,8,189,327,256.9,41,202,-111
314,,Kenny Britt,NE,WR111,11,193,381,258.3,50.1,344,30
315,,Baker Mayfield,CLE,QB34,11,191,571,259.8,85.7,197,-118
316,,Jeremy Kerley,BUF,WR112,11,193,292,254.2,34.3,,
317,,Tampa Bay Buccaneers,,DST25,5,194,441,252.6,68.3,324,7
318,,San Francisco 49ers,,DST26,11,194,304,265,37.3,279,-39
319,,Jakeem Grant,MIA,WR113,11,194,381,265.7,66.5,,
320,,Cody Latimer,NYG,WR114,9,195,377,299.3,76.7,401,81
321,,Daniel Carlson,MIN,K22,10,196,216,208,7.3,235,-86
322,,Rico Gathers,DAL,TE42,8,196,326,251.3,43,339,17
323,,Washington,,DST27,4,196,339,259.2,45.2,240,-83
324,,Charles Sims,TB,RB85,5,197,348,260.2,38.7,356,32
325,,Jalen Richard,OAK,RB86,7,199,285,238.2,27.8,388,63
326,,Nick Vannett,SEA,TE43,7,199,299,238.8,30.9,353,27
327,,Josh Hill,NO,TE44,6,199,346,246.7,47.7,,
328,,Josh Rosen,ARI,QB35,9,199,566,264.6,101.7,208,-120
329,,J'Mon Moore,GB,WR115,7,200,282,245.7,24.9,304,-25
330,,Phil Dawson,ARI,K23,9,201,246,223.5,22.5,352,22
331,,Ryan Griffin,HOU,TE45,10,205,247,224.8,14.5,313,-18
332,,C.J. Fiedorowicz,FA,TE46,,205,247,226,21,,
333,,Malcolm Mitchell,FA,WR116,,218,244,231,13,338,5
334,,Blair Walsh,FA,K24,,212,240,231.4,10,,
335,,Orleans Darkwa,FA,RB87,,206,265,233.7,24.2,335,0
336,,Terrance West,NO,RB88,6,217,247,234.5,9.7,400,64
337,,Virgil Green,LAC,TE47,8,202,268,235.5,17.7,305,-32
338,,Dustin Hopkins,WAS,K25,4,233,239,236,3,373,35
339,,Caleb Sturgis,LAC,K26,8,206,363,240.1,50.8,,
340,,Jaron Brown,SEA,WR117,7,205,294,240.4,26,358,18
341,,Phillip Lindsay,DEN,RB89,10,220,263,241.5,21.5,416,75
342,,Kyle Juszczyk,SF,RB90,11,204,283,241.8,27,,
343,,Torrey Smith,CAR,WR118,4,214,264,248,13.9,236,-107
344,,Kendall Wright,MIN,WR119,10,221,283,249.9,21.5,386,42
345,,DeAndre Washington,OAK,RB91,7,209,318,250.4,27,367,22
346,,Justin Jackson,LAC,RB92,8,203,414,253.3,55.6,321,-25
347,,DaeSean Hamilton,DEN,WR120,10,215,312,253.8,35.8,292,-55
348,,Jeremy Hill,NE,RB93,11,206,392,258.2,51.1,263,-85
349,,Shane Vereen,NO,RB94,6,253,264,258.5,5.5,282,-67
350,,Tyler Boyd,CIN,WR121,9,211,312,259.8,47.4,336,-14
351,,Adrian Peterson,FA,RB95,,216,315,261,35.6,340,-11
352,,Mike Gillislee,NE,RB96,11,211,439,262.8,69.1,366,14
353,,Thomas Rawls,NYJ,RB97,11,205,390,263.9,56.4,419,66
354,,Jamaal Charles,FA,RB98,,260,269,264.5,4.5,,
355,,Jonnu Smith,TEN,TE48,8,251,286,266.7,14.5,294,-61
356,,Sam Darnold,NYJ,QB36,11,203,568,267.4,101,211,-145
357,,Antonio Callaway,CLE,WR122,11,201,364,268.2,62.5,269,-88
358,,Jacquizz Rodgers,TB,RB99,5,202,405,268.6,69,349,-9
359,,Josh Allen,BUF,QB37,11,213,507,272.6,96.4,228,-131
360,,Travaris Cadet,BUF,RB100,11,244,296,273,21.6,376,16
361,,Clive Walford,NYJ,TE49,11,250,297,273.5,23.5,,
362,,Mark Andrews,BAL,TE50,10,215,319,274.8,44.8,286,-76
363,,D.J. Chark,JAC,WR123,9,226,314,278,31.3,262,-101
364,,Oakland Raiders,,DST28,7,216,348,279.2,42.1,,
365,,New York Jets,,DST29,11,228,395,283.2,56.9,,
366,,Cordarrelle Patterson,NE,WR124,11,213,337,285,50.7,347,-19
367,,Michael Roberts,DET,TE51,6,235,340,287.3,42.9,387,20
368,,AJ McCarron,BUF,QB38,11,216,572,288.5,127.3,342,-26
369,,Charcandrick West,KC,RB101,12,259,345,291.3,38.2,,
370,,Carlos Henderson,DEN,WR125,10,214,360,293.5,53.2,403,33
371,,Amara Darboh,SEA,WR126,7,212,371,294,63.8,393,22
372,,Laquon Treadwell,MIN,WR127,10,278,310,294,16,337,-35
373,,Seth Roberts,OAK,WR128,7,281,307,294,13,371,-2
374,,Cleveland Browns,,DST30,11,218,349,294.4,43.9,306,-68
375,,Nick O'Leary,BUF,TE52,11,271,325,294.7,22.5,,
